t,mode,fall_state,symmetry,cadence,gait_deviation_z,met_proxy,slouch_score,phase_asym,stride_proxy,pitch,roll,accel_mag,prefall_alert,audio_impact_hint,fall_direction_hint
1775535195.3027601,walker,CAMERA/MIC,100,12,0.0,2.16,0,0.0,0.115,0.0,0.0,0.0,0,0,
1775535195.8283322,walker,CAMERA/MIC,100,12,0.0,2.16,0,0.0,0.66,0.0,0.0,0.0,0,0,
1775535196.3428395,walker,CAMERA/MIC,100,12,0.0,2.16,0,0.0,0.592,0.0,0.0,0.0,0,0,
1775535196.8700542,walker,CAMERA/MIC,100,12,0.0,2.16,0,0.0,0.614,0.0,0.0,0.0,0,0,
1775535197.38495,walker,CAMERA/MIC,100,12,0.0,2.16,0,0.0,0.651,0.0,0.0,0.0,0,0,
1775535197.9125175,walker,CAMERA/MIC,100,12,0.0,2.16,0,0.0,0.639,0.0,0.0,0.0,0,0,
1775535198.4417164,walker,CAMERA/MIC,100,12,0.0,2.16,0,0.0,0.668,0.0,0.0,0.0,0,0,
1775535198.9700546,walker,CAMERA/MIC,100,12,0.0,2.16,0,0.0,0.614,0.0,0.0,0.0,0,0,
1775535199.5398962,walker,CAMERA/MIC,100,12,0.0,2.16,0,0.0,0.681,0.0,0.0,0.0,0,0,
1775535200.080131,walker,CAMERA/MIC,100,12,0.0,2.16,0,0.0,0.734,0.0,0.0,0.0,0,0,
1775535200.6181457,walker,CAMERA/MIC,100,12,0.0,2.16,0,0.0,0.714,0.0,0.0,0.0,0,0,
1775535201.1488092,walker,CAMERA/MIC,100,12,0.0,2.16,0,0.0,0.68,0.0,0.0,0.0,0,0,
1775535201.6809251,walker,CAMERA/MIC,100,12,0.0,2.16,0,0.0,0.636,0.0,0.0,0.0,0,0,
1775535202.1954126,walker,CAMERA/MIC,100,12,0.0,2.16,0,0.0,0.654,0.0,0.0,0.0,0,0,
1775535202.718175,walker,CAMERA/MIC,100,12,0.0,2.16,0,0.0,0.607,0.0,0.0,0.0,0,0,
1775535203.232678,walker,CAMERA/MIC,100,12,0.0,2.16,0,0.0,0.608,0.0,0.0,0.0,0,0,
1775535203.7759855,walker,CAMERA/MIC,100,12,0.0,2.16,0,0.0,0.709,0.0,0.0,0.0,0,0,
1775535204.321948,walker,CAMERA/MIC,100,12,0.0,2.16,0,0.0,0.637,0.0,0.0,0.0,0,0,
1775535204.865853,walker,CAMERA/MIC,100,12,0.0,2.16,0,0.0,0.691,0.0,0.0,0.0,0,0,
1775535205.4015558,walker,CAMERA/MIC,100,0,0.0,1.0,0,0.0,0.677,0.0,0.0,0.0,0,0,
